python -m agents.afterstate_trainer --selfplay 2000000 --alpha 0.1 --alpha-final 0.001 --epsilon-start 1.0 --epsilon-min 0.001 --gamma 1.0 --seed 1 --output trained_models/w_100_s1_1m.npy --mix 0               
W-table initialised: 2154 terminal winning states set to 1.0 (1.9% of 113028 states).

Phase 2: 2000000 self-play episodes (update=mc, gamma=1.0, eps 1.0 -> 0.001, alpha 0.1 -> 0.001)...
  Ep  440000/2000000 | eps=0.2188 | alpha=0.0363 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 95.5%W/1.5%L/3.0%D | 907s
  Ep  445000/2000000 | eps=0.2150 | alpha=0.0359 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.0%W/2.5%L/2.5%D | 916s
  Ep  450000/2000000 | eps=0.2113 | alpha=0.0355 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.0%W/0.5%L/2.5%D | 926s
  Ep  455000/2000000 | eps=0.2077 | alpha=0.0351 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.5%W/1.5%L/2.0%D | 935s
  Ep  460000/2000000 | eps=0.2042 | alpha=0.0347 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.5%W/1.0%L/2.5%D | 945s
  Ep  465000/2000000 | eps=0.2007 | alpha=0.0343 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.5%W/2.0%L/1.5%D | 954s
  Ep  470000/2000000 | eps=0.1972 | alpha=0.0339 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.0%W/0.5%L/3.5%D | 963s
  Ep  475000/2000000 | eps=0.1939 | alpha=0.0335 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.0%W/0.5%L/3.5%D | 973s
  Ep  480000/2000000 | eps=0.1905 | alpha=0.0331 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.0%W/1.5%L/3.5%D | 983s
  Ep  485000/2000000 | eps=0.1873 | alpha=0.0327 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.5%W/2.5%L/3.0%D | 992s
  Ep  490000/2000000 | eps=0.1841 | alpha=0.0324 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.5%W/1.5%L/1.0%D | 1002s
  Ep  495000/2000000 | eps=0.1809 | alpha=0.0320 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.5%W/1.5%L/4.0%D | 1011s
  Ep  500000/2000000 | eps=0.1778 | alpha=0.0316 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.5%W/2.0%L/2.5%D | 1021s
  Ep  505000/2000000 | eps=0.1748 | alpha=0.0313 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.5%W/2.5%L/1.0%D | 1031s
  Ep  510000/2000000 | eps=0.1718 | alpha=0.0309 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.0%W/0.5%L/3.5%D | 1041s
  Ep  515000/2000000 | eps=0.1688 | alpha=0.0305 | vs Random: 99.5%W/0.5%L/0.0%D | vs Naive: 97.5%W/1.0%L/1.5%D | 1051s
  Ep  520000/2000000 | eps=0.1660 | alpha=0.0302 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.5%W/1.0%L/3.5%D | 1061s
  Ep  525000/2000000 | eps=0.1631 | alpha=0.0299 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.5%W/3.0%L/2.5%D | 1071s
  Ep  530000/2000000 | eps=0.1603 | alpha=0.0295 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 98.0%W/2.0%L/0.0%D | 1081s
  Ep  535000/2000000 | eps=0.1576 | alpha=0.0292 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 98.0%W/2.0%L/0.0%D | 1092s
  Ep  540000/2000000 | eps=0.1549 | alpha=0.0288 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.5%W/1.0%L/2.5%D | 1102s
  Ep  545000/2000000 | eps=0.1522 | alpha=0.0285 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.5%W/1.0%L/2.5%D | 1113s
  Ep  550000/2000000 | eps=0.1496 | alpha=0.0282 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.5%W/1.0%L/1.5%D | 1127s
  Ep  555000/2000000 | eps=0.1471 | alpha=0.0279 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 92.5%W/5.0%L/2.5%D | 1138s
  Ep  560000/2000000 | eps=0.1445 | alpha=0.0275 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 98.0%W/0.5%L/1.5%D | 1150s
  Ep  565000/2000000 | eps=0.1421 | alpha=0.0272 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 95.5%W/2.5%L/2.0%D | 1161s
  Ep  570000/2000000 | eps=0.1396 | alpha=0.0269 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 93.5%W/2.0%L/4.5%D | 1173s
  Ep  575000/2000000 | eps=0.1372 | alpha=0.0266 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.5%W/3.5%L/2.0%D | 1184s
  Ep  580000/2000000 | eps=0.1349 | alpha=0.0263 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.0%W/2.0%L/2.0%D | 1195s
  Ep  585000/2000000 | eps=0.1326 | alpha=0.0260 | vs Random: 99.0%W/1.0%L/0.0%D | vs Naive: 96.5%W/3.0%L/0.5%D | 1207s
  Ep  590000/2000000 | eps=0.1303 | alpha=0.0257 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 96.5%W/0.5%L/3.0%D | 1219s
  Ep  595000/2000000 | eps=0.1281 | alpha=0.0254 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.0%W/1.5%L/1.5%D | 1231s
  Ep  600000/2000000 | eps=0.1259 | alpha=0.0251 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.0%W/3.0%L/0.0%D | 1244s
  Ep  605000/2000000 | eps=0.1237 | alpha=0.0248 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 91.5%W/2.0%L/6.5%D | 1257s
  Ep  610000/2000000 | eps=0.1216 | alpha=0.0245 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 91.5%W/3.0%L/5.5%D | 1271s
  Ep  615000/2000000 | eps=0.1195 | alpha=0.0243 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 97.5%W/1.0%L/1.5%D | 1284s
  Ep  620000/2000000 | eps=0.1175 | alpha=0.0240 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 94.5%W/2.0%L/3.5%D | 1296s
  Ep  625000/2000000 | eps=0.1155 | alpha=0.0237 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 92.5%W/3.0%L/4.5%D | 1307s
  Ep  630000/2000000 | eps=0.1135 | alpha=0.0234 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 93.5%W/4.5%L/2.0%D | 1319s
  Ep  635000/2000000 | eps=0.1116 | alpha=0.0232 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 92.5%W/2.0%L/5.5%D | 1330s
  Ep  640000/2000000 | eps=0.1096 | alpha=0.0229 | vs Random: 100.0%W/0.0%L/0.0%D | vs Naive: 92.5%W/4.0%L/3.5%D | 1344s
